window_hours,split,path_context,path_label,n,proportion_in_split_window
12,train,path_neutral_pressure,path_unavailable,57,0.002042644687332019
12,train,path_directional_core,path_cascade_transmission,51,0.0018276294570865436
12,train,path_mixed_pressure,path_unavailable,50,0.0017917935853789643
12,train,path_directional_core,path_partial_absorption,31,0.001110912022934958
12,train,path_directional_core,path_pressure_rejection,24,0.0008600609209819029
12,train,path_directional_core,path_baseline_transmission,22,0.0007883891775667443
12,train,path_directional_core,path_full_absorption_stall,19,0.0006808815624440065
12,train,path_directional_core,path_reversal_takeover,4,0.00014334348683031715
12,validation,path_mixed_pressure,path_mixed_pressure_chop,1783,0.29816053511705687
12,validation,path_neutral_pressure,path_quiet_no_pressure,1421,0.23762541806020068
12,validation,path_mixed_pressure,path_normal_mixed_active_breakout_up,580,0.09698996655518395
12,validation,path_mixed_pressure,path_normal_mixed_active_breakout_down,564,0.09431438127090301
12,validation,path_neutral_pressure,path_normal_active_dominance_up,297,0.04966555183946488
12,validation,path_neutral_pressure,path_normal_active_dominance_down,218,0.03645484949832776
12,validation,path_mixed_pressure,path_mixed_active_breakout_up,190,0.03177257525083612
12,validation,path_mixed_pressure,path_mixed_active_breakout_down,189,0.03160535117056856
12,validation,path_directional_weak,path_cascade_transmission,130,0.021739130434782608
12,validation,path_directional_weak,path_pressure_rejection,116,0.01939799331103679
12,validation,path_neutral_pressure,path_active_dominance_up,95,0.01588628762541806
12,validation,path_directional_weak,path_reversal_takeover,90,0.015050167224080268
12,validation,path_directional_weak,path_partial_absorption,85,0.014214046822742474
12,validation,path_directional_weak,path_baseline_transmission,71,0.011872909698996655
12,validation,path_directional_weak,path_full_absorption_stall,60,0.010033444816053512
12,validation,path_neutral_pressure,path_active_dominance_down,50,0.008361204013377926
12,validation,path_directional_core,path_cascade_transmission,13,0.002173913043478261
12,validation,path_directional_core,path_partial_absorption,8,0.0013377926421404682
12,validation,path_directional_core,path_full_absorption_stall,6,0.001003344481605351
12,validation,path_directional_core,path_baseline_transmission,5,0.0008361204013377926
12,validation,path_directional_core,path_reversal_takeover,5,0.0008361204013377926
12,validation,path_directional_core,path_pressure_rejection,4,0.0006688963210702341
24,test,path_mixed_pressure,path_mixed_pressure_chop,1984,0.2995621319643666
24,test,path_neutral_pressure,path_quiet_no_pressure,1326,0.20021138456892648
24,test,path_mixed_pressure,path_normal_mixed_active_breakout_down,613,0.09255624339423223
24,test,path_mixed_pressure,path_normal_mixed_active_breakout_up,554,0.08364789370375962
24,test,path_neutral_pressure,path_normal_active_dominance_up,365,0.055110976898686395
24,test,path_neutral_pressure,path_normal_active_dominance_down,326,0.049222406764306205
24,test,path_mixed_pressure,path_mixed_active_breakout_down,307,0.04635361618601842
24,test,path_mixed_pressure,path_mixed_active_breakout_up,268,0.04046504605163823
24,test,path_neutral_pressure,path_active_dominance_up,170,0.025668126226785444
24,test,path_neutral_pressure,path_active_dominance_down,160,0.024158236448739243
24,test,path_directional_weak,path_partial_absorption,130,0.019628567114600634
24,test,path_directional_weak,path_baseline_transmission,113,0.01706175449192209
24,test,path_directional_weak,path_cascade_transmission,90,0.013589008002415824
24,test,path_directional_weak,path_pressure_rejection,67,0.010116261512909558
24,test,path_directional_weak,path_full_absorption_stall,57,0.008606371734863356
24,test,path_directional_weak,path_reversal_takeover,42,0.006341537067794051
24,test,path_directional_core,path_baseline_transmission,20,0.0030197795560924054
24,test,path_directional_core,path_full_absorption_stall,13,0.0019628567114600634
24,test,path_directional_core,path_partial_absorption,9,0.0013589008002415823
24,test,path_directional_core,path_pressure_rejection,6,0.0009059338668277216
24,test,path_directional_core,path_reversal_takeover,3,0.0004529669334138608
24,train,path_mixed_pressure,path_mixed_pressure_chop,9209,0.33001254255509765
24,train,path_neutral_pressure,path_quiet_no_pressure,5933,0.2126142268410679
24,train,path_mixed_pressure,path_normal_mixed_active_breakout_down,2496,0.0894463357821179
24,train,path_mixed_pressure,path_normal_mixed_active_breakout_up,2438,0.0873678552230783
24,train,path_mixed_pressure,path_mixed_active_breakout_up,1754,0.06285611897509406
24,train,path_mixed_pressure,path_mixed_active_breakout_down,1420,0.050886937824762585
24,train,path_neutral_pressure,path_normal_active_dominance_up,1077,0.038595233829062894
24,train,path_neutral_pressure,path_normal_active_dominance_down,931,0.033363196559756315
24,train,path_directional_weak,path_cascade_transmission,597,0.021394015409424833
24,train,path_neutral_pressure,path_active_dominance_up,456,0.016341157498656153
24,train,path_neutral_pressure,path_active_dominance_down,323,0.011574986561548109
24,train,path_directional_weak,path_baseline_transmission,239,0.00856477333811145
24,train,path_directional_weak,path_partial_absorption,220,0.007883891775667442
24,train,path_directional_weak,path_pressure_rejection,159,0.005697903601505107
24,train,path_directional_weak,path_reversal_takeover,158,0.005662067729797527
24,train,path_directional_weak,path_full_absorption_stall,157,0.005626231858089948
24,train,path_mixed_pressure,path_unavailable,63,0.002257659917577495
24,train,path_directional_core,path_cascade_transmission,62,0.002221824045869916
24,train,path_neutral_pressure,path_unavailable,56,0.00200680881562444
24,train,path_directional_core,path_partial_absorption,52,0.001863465328794123
24,train,path_directional_core,path_full_absorption_stall,40,0.0014334348683031715
24,train,path_directional_core,path_baseline_transmission,34,0.0012184196380576958
24,train,path_directional_core,path_pressure_rejection,16,0.0005733739473212686
24,train,path_directional_core,path_reversal_takeover,15,0.0005375380756136893
24,validation,path_mixed_pressure,path_mixed_pressure_chop,1575,0.2633779264214047
24,validation,path_neutral_pressure,path_quiet_no_pressure,1357,0.22692307692307692
24,validation,path_mixed_pressure,path_normal_mixed_active_breakout_down,477,0.07976588628762542
24,validation,path_mixed_pressure,path_normal_mixed_active_breakout_up,460,0.07692307692307693
24,validation,path_neutral_pressure,path_normal_active_dominance_up,340,0.056856187290969896
24,validation,path_mixed_pressure,path_mixed_active_breakout_up,279,0.04665551839464883
24,validation,path_mixed_pressure,path_mixed_active_breakout_down,230,0.038461538461538464
24,validation,path_directional_weak,path_cascade_transmission,205,0.034280936454849496
24,validation,path_neutral_pressure,path_normal_active_dominance_down,198,0.03311036789297659
24,validation,path_directional_weak,path_partial_absorption,159,0.026588628762541807
24,validation,path_directional_weak,path_pressure_rejection,148,0.024749163879598662
24,validation,path_neutral_pressure,path_active_dominance_up,138,0.023076923076923078
24,validation,path_directional_weak,path_baseline_transmission,132,0.022073578595317726
24,validation,path_directional_weak,path_full_absorption_stall,104,0.017391304347826087
24,validation,path_directional_weak,path_reversal_takeover,98,0.016387959866220735
24,validation,path_neutral_pressure,path_active_dominance_down,34,0.00568561872909699
24,validation,path_directional_core,path_partial_absorption,26,0.004347826086956522
24,validation,path_directional_core,path_baseline_transmission,12,0.002006688963210702
24,validation,path_directional_core,path_cascade_transmission,8,0.0013377926421404682
48,test,path_mixed_pressure,path_mixed_pressure_chop,2095,0.3163219085006794
48,test,path_neutral_pressure,path_quiet_no_pressure,1376,0.20776083345915747
48,test,path_mixed_pressure,path_normal_mixed_active_breakout_down,734,0.11082590970859127
48,test,path_mixed_pressure,path_normal_mixed_active_breakout_up,648,0.09784085761739393
48,test,path_neutral_pressure,path_normal_active_dominance_up,301,0.0454476823191907
48,test,path_neutral_pressure,path_normal_active_dominance_down,286,0.043182847652121395
48,test,path_directional_weak,path_baseline_transmission,215,0.03246263022799336
48,test,path_directional_weak,path_partial_absorption,184,0.027781971916050127
48,test,path_mixed_pressure,path_mixed_active_breakout_down,161,0.024309225426543863
48,test,path_neutral_pressure,path_active_dominance_down,136,0.020534500981428356
48,test,path_mixed_pressure,path_mixed_active_breakout_up,126,0.01902461120338215
48,test,path_neutral_pressure,path_active_dominance_up,104,0.015702853691680507
48,test,path_directional_weak,path_cascade_transmission,71,0.010720217424128039
48,test,path_directional_weak,path_full_absorption_stall,59,0.008908349690472595
48,test,path_directional_weak,path_pressure_rejection,44,0.0066435150234032915
48,test,path_directional_core,path_partial_absorption,40,0.006039559112184811
48,test,path_directional_core,path_baseline_transmission,16,0.0024158236448739243
48,test,path_directional_weak,path_reversal_takeover,14,0.0021138456892646836
48,test,path_directional_core,path_full_absorption_stall,13,0.0019628567114600634
48,train,path_mixed_pressure,path_mixed_pressure_chop,9991,0.35803619423042465
48,train,path_neutral_pressure,path_quiet_no_pressure,6141,0.2200680881562444
48,train,path_mixed_pressure,path_normal_mixed_active_breakout_down,2692,0.09647016663680344
48,train,path_mixed_pressure,path_normal_mixed_active_breakout_up,2449,0.08776204981186167
48,train,path_neutral_pressure,path_normal_active_dominance_up,1056,0.03784268052320373
48,train,path_mixed_pressure,path_mixed_active_breakout_up,1016,0.03640924565490056
48,train,path_neutral_pressure,path_normal_active_dominance_down,792,0.028382010392402793
48,train,path_mixed_pressure,path_mixed_active_breakout_down,783,0.028059487547034582
48,train,path_directional_weak,path_cascade_transmission,728,0.02608851460311772
48,train,path_directional_weak,path_partial_absorption,384,0.013760974735710446
48,train,path_neutral_pressure,path_active_dominance_up,365,0.01308009317326644
48,train,path_directional_weak,path_baseline_transmission,348,0.012470883354237591
48,train,path_directional_weak,path_pressure_rejection,177,0.0063429492922415336
48,train,path_neutral_pressure,path_active_dominance_down,164,0.005877082960043003
48,train,path_directional_weak,path_reversal_takeover,163,0.005841247088335424
48,train,path_directional_weak,path_full_absorption_stall,156,0.005590395986382369
48,train,path_directional_core,path_cascade_transmission,126,0.00451531983515499
48,train,path_directional_core,path_partial_absorption,107,0.0038344382727109835
48,train,path_mixed_pressure,path_unavailable,89,0.0031893925819745563
48,train,path_neutral_pressure,path_unavailable,54,0.0019351370722092815
48,train,path_directional_core,path_full_absorption_stall,52,0.001863465328794123
48,train,path_directional_core,path_baseline_transmission,39,0.0013975989965955922
48,train,path_directional_core,path_pressure_rejection,33,0.0011825837663501165
48,validation,path_mixed_pressure,path_mixed_pressure_chop,1684,0.28160535117056856
48,validation,path_neutral_pressure,path_quiet_no_pressure,1475,0.24665551839464883
48,validation,path_mixed_pressure,path_normal_mixed_active_breakout_down,424,0.07090301003344482
48,validation,path_mixed_pressure,path_normal_mixed_active_breakout_up,422,0.0705685618729097
48,validation,path_neutral_pressure,path_normal_active_dominance_up,313,0.05234113712374582
48,validation,path_directional_weak,path_cascade_transmission,284,0.04749163879598662
48,validation,path_directional_weak,path_partial_absorption,228,0.03812709030100334
48,validation,path_directional_weak,path_baseline_transmission,223,0.03729096989966555
48,validation,path_neutral_pressure,path_normal_active_dominance_down,175,0.029264214046822744
48,validation,path_directional_weak,path_pressure_rejection,144,0.024080267558528427
48,validation,path_directional_weak,path_full_absorption_stall,136,0.02274247491638796
48,validation,path_mixed_pressure,path_mixed_active_breakout_up,133,0.022240802675585283
48,validation,path_neutral_pressure,path_active_dominance_up,86,0.014381270903010033
48,validation,path_directional_weak,path_reversal_takeover,80,0.013377926421404682
48,validation,path_mixed_pressure,path_mixed_active_breakout_down,62,0.01036789297658863
48,validation,path_directional_core,path_partial_absorption,33,0.005518394648829431
48,validation,path_directional_core,path_baseline_transmission,26,0.004347826086956522
48,validation,path_directional_core,path_full_absorption_stall,26,0.004347826086956522
48,validation,path_neutral_pressure,path_active_dominance_down,18,0.0030100334448160534
48,validation,path_directional_core,path_pressure_rejection,6,0.001003344481605351
48,validation,path_directional_core,path_cascade_transmission,2,0.00033444816053511704
