window_hours,split,path_context,n,mean_legacy_quality,median_legacy_quality,mean_data_quality,median_data_quality,mean_signal_clarity,median_signal_clarity,mean_activity_level,median_activity_level,mean_abs_score,median_abs_score,mean_rejection,p90_rejection,mean_cascade,median_directionality,median_active_z,p90_active_z,mean_active_dominance
24,test,path_directional_core,51,0.5462938045447914,0.528098899926259,0.9352941176470588,0.9,0.5839543089921403,0.572605314334905,0.6680848981383942,0.6817630930206848,41.98165539740885,40.548359324279474,0.0608856090263313,0.10872314857824736,0.2513150288277693,0.9999999999691426,1.0250763323044783,2.525539545182303,0.278812150961553
24,test,path_directional_weak,499,0.5601013316284384,0.5604530415017295,0.9328657314629258,0.9,0.6015811953502436,0.5924359882359278,0.6740881089666005,0.6817630930206848,40.81558204261514,39.39665319928506,0.09079293622803473,0.2914296936501121,0.28164498597023263,0.9999999999458348,0.9520681827511711,2.3800885179016724,0.21299610655300405
24,test,path_mixed_pressure,3726,0.29855245001389885,0.287041110352818,0.9342458400429415,0.9,0.31821924016352277,0.3183632810646746,0.568902337692994,0.5748945818188518,50.0,50.0,0.0,0.0,0.0,0.999999999711655,0.6885755427611348,1.938372752270685,0.13759348835706603
24,test,path_neutral_pressure,2347,0.28729232394876886,0.2921387648606237,0.9401363442692799,0.9,0.30359578284320893,0.3181786900983564,0.39350779306417194,0.39998805666899573,50.0,50.0,0.0,0.0,0.0,0.9999999978727717,0.6349630677526156,1.8397327307391225,0.13088769778823556
24,train,path_directional_core,219,0.5559586052095951,0.5512663074873269,0.9004566210045662,0.9,0.6174372126980211,0.6115359393349324,0.715514650312658,0.7464475360110854,35.47191263773745,37.37912811646661,0.06683144331587186,0.20340189466275976,0.3744002705019776,0.9999999999585961,2.0915976831578282,8.837845378809616,0.48875151486558066
24,train,path_directional_weak,1530,0.5727135942919359,0.5819536756769306,0.9056209150326798,0.9,0.6328457662283585,0.6444203629209111,0.7030888686305938,0.7338995743681564,35.24233022857046,33.04104613633777,0.10361130160975666,0.39892861460866647,0.3899948944112626,0.9999999999492322,1.5817882553169456,4.130274313380257,0.3913550945659715
24,train,path_mixed_pressure,17380,0.29643512541004635,0.2897871735663134,0.9286708860759494,0.9,0.3180723403667487,0.32024334453892667,0.581064139220299,0.5862638344434512,50.0,50.0,0.0,0.0,0.0,0.9999999997048171,0.7014645664246962,2.1767533898352767,0.15768089470116942
24,train,path_neutral_pressure,8776,0.28968283235036124,0.279,0.9421376481312672,0.9,0.30511722555887044,0.31,0.3874823990270068,0.39047852214102685,50.0,50.0,0.0,0.0,0.0,0.9999999973426275,0.4689186500900292,1.5053808446200845,0.08562020411514534
24,validation,path_directional_core,46,0.5455165118825245,0.5296151918734633,0.9130434782608695,0.9,0.5975157003906414,0.5797089294982889,0.7069060887501865,0.709931831549018,32.968345798039515,37.440238242787444,0.0,0.0,0.36853059554287154,0.999999999967495,1.5029503438146743,3.2535624848369813,0.4023471108481637
24,validation,path_directional_weak,846,0.5599947544934557,0.5535474862232225,0.9261229314420804,0.9,0.6056385542182956,0.5964397205154246,0.6766124579154228,0.6905167256030182,42.22324021419974,42.183356692764946,0.12951193331083746,0.44279251054316676,0.26675954468844904,0.999999999950246,1.0953291965234215,3.3573384335811918,0.27408483754041074
24,validation,path_mixed_pressure,3021,0.30340413547895,0.3002523919003095,0.9411784177424695,0.9,0.32125125017400696,0.32457873818862804,0.5654084706429139,0.5667256473603107,50.0,50.0,0.0,0.0,0.0,0.9999999996816771,0.716751974492076,2.058813787125048,0.1491268062051255
24,validation,path_neutral_pressure,2067,0.30598233122130236,0.3249190369737719,0.965795839380745,1.0,0.3154092050036402,0.32499999999999996,0.36556227786057083,0.3712148460013708,50.0,50.0,0.0,0.0,0.0,0.9999999969454418,0.5091984915393141,1.4685922197081818,0.08555075771715517
