time,window_hours,split,price,hmm_state,path_pressure_name,path_context,path_label,path_return_bps,path_signed_plie_effective_sum_bps,path_raw_plie_total_bps,path_net_braw_bps,path_direction_consistency,path_liq_neutrality_score,path_snr,path_active_z,path_transmission_ratio,path_absorption_score_0_100,path_quality,path_pressure_rejection_score,path_cascade_score,path_active_dominance_score,path_active_dominance_price_score,_example_score
2021-12-04T04:50:00Z,24,train,51557.75879068342,4.0,mixed_pressure,path_mixed_pressure,path_mixed_active_breakout_down,-927.9354512602664,-20.446307366408114,60.141102520330136,60.14110252033015,0.9999999993590092,6.409908159810129e-10,0.00887606483417418,5.279465890247812,-0.0,50.0,0.4562503500388544,0.0,0.0,0.9640275800758169,-0.9640275800758169,1.4202779301146713
2023-04-11T03:50:00Z,24,train,30110.947713074613,2.0,mixed_pressure,path_mixed_pressure,path_mixed_active_breakout_up,585.482953674959,-19.47596355659338,99.32740798300563,50.75459655801578,0.24785689679098372,0.7521431032090162,0.02679713872627861,6.885601705804428,0.0,50.0,0.42447859691991446,0.0,0.0,0.9640275800758169,0.9640275800758169,1.3885061769957314
2023-03-04T03:50:00Z,24,train,22359.462027834976,5.0,mixed_pressure,path_mixed_pressure,path_mixed_pressure_chop,-471.34198676856096,-98.14119464482734,140.195962241685,140.195962241685,0.9999999995951077,4.048923418764616e-10,0.01066813813669286,2.0359348718498476,-0.0,50.0,0.5218610558531959,0.0,0.0,0.5164795452858393,-0.5164795452858393,1.0383406011390353
2021-12-05T02:50:00Z,24,train,48991.40980010176,3.0,mixed_pressure,path_mixed_pressure,path_normal_mixed_active_breakout_down,-812.7045144094186,-97.86534584583075,175.73268969528328,175.7326896952833,0.9999999998817445,1.18255516490251e-10,0.042734411160510175,4.107066937335086,-0.0,50.0,0.45499047098409023,0.0,0.0,0.9036975414494186,-0.9036975414494186,1.3586880124335088
2023-10-24T19:50:00Z,24,train,33789.91073870443,1.0,mixed_pressure,path_mixed_pressure,path_normal_mixed_active_breakout_up,747.5133904088939,170.80928519175595,248.52285097301635,248.52285097301635,0.9999999999288013,7.119871359151375e-11,0.08982707142621486,4.780776444936668,0.0,50.0,0.3989910331893827,0.0,0.0,0.9459140367980694,0.9459140367980694,1.344905069987452
2021-09-02T05:50:00Z,24,train,49592.54876892283,1.0,mixed_pressure,path_mixed_pressure,path_unavailable,444.2179038893096,57.655561348161356,110.89718032525076,110.89718032525077,0.9999999993508583,6.491417403609034e-10,,,0.0,,,,,,,0.0
2021-12-04T03:50:00Z,24,train,52404.08402251416,4.0,neutral_pressure,path_neutral_pressure,path_active_dominance_down,-738.9373518187964,-16.50753361170819,53.462165307534285,53.46216530753429,0.9999999990505889,9.494111052887888e-10,0.005992636506837418,4.204165859445303,-0.0,50.0,0.4433923044685375,0.0,0.0,0.9113076815617918,-0.9113076815617918,1.3546999860303293
2022-09-09T23:50:00Z,24,train,21366.23149989915,2.0,neutral_pressure,path_neutral_pressure,path_active_dominance_up,1002.433762864864,13.70927898996266,44.63609259584447,44.63609259584447,0.9999999991306018,8.693982200824735e-10,0.00697701032576326,6.080567630201927,0.0,50.0,0.3817874466204706,0.0,0.0,0.9640275800758169,0.9640275800758169,1.3458150266962874
2022-01-22T12:50:00Z,24,train,35777.578531402665,3.0,neutral_pressure,path_neutral_pressure,path_normal_active_dominance_down,-613.6098709206794,8.085047834301754,28.379635234904125,28.37963523490412,0.9999999984071056,1.5928943719600852e-09,0.002926794934996318,2.860695433744993,-0.0,50.0,0.3197723472409624,0.0,0.0,0.734342026818379,-0.734342026818379,1.0541143740593415
2023-08-29T14:50:00Z,24,train,27422.36860261149,3.0,neutral_pressure,path_neutral_pressure,path_normal_active_dominance_up,541.9877186085702,-9.848579464009344,40.7878451113014,33.40924618559129,0.9917137601345072,0.008286239865492817,0.008570585560937816,8.832177774572687,0.0,50.0,0.3817874466204706,0.0,0.0,0.9640275800758169,0.9640275800758169,1.3458150266962874
