latest_time,window_days,window_start,subset,horizon_min,n,target_quantile,coverage_actual_le_plie,coverage_error,pinball_q,pinball_null_train_q,improvement_vs_null_pct,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,mean_absorption,spearman_abs_plie_vs_aligned,spearman_signed_plie_vs_return
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,all,30,1440,0.65,0.6701,0.0201,7.033607,7.265738,3.1949,-1.2846,0.0,1.6662,0.3604,2.6733,-0.03472,-0.04844
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,all,60,1439,0.65,0.6678,0.0178,9.483935,9.832676,3.5468,-1.2219,0.0,2.3057,0.376,1.5419,-0.00029,-0.03538
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,state_1_5,20,251,0.65,0.6096,-0.0404,6.805385,6.800493,-0.0719,-1.7861,-0.3561,4.4371,0.4741,1.3913,-0.02355,-0.02544
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,state_1_5,30,251,0.65,0.6335,-0.0165,8.144578,8.098399,-0.5702,-2.5989,-0.5148,5.4354,0.49,1.547,0.0125,-0.03871
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,state_1_5,60,251,0.65,0.6295,-0.0205,10.652683,10.665704,0.1221,0.514,1.0944,7.9718,0.5259,0.8986,-0.04148,-0.06417
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,strong_entry,20,6,0.65,0.6667,0.0167,8.746941,8.540844,-2.4131,-3.3954,-6.0149,5.1244,0.3333,1.2027,-0.88571,-0.71429
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,strong_entry,30,6,0.65,0.6667,0.0167,12.636661,12.332699,-2.4647,-5.6829,-8.3905,7.2211,0.3333,1.3601,-0.88571,-0.77143
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,strong_entry,60,6,0.65,0.8333,0.1833,15.668062,14.944447,-4.842,-11.9517,-14.4789,9.5534,0.3333,1.9763,-0.42857,-0.48571
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top20,20,288,0.65,0.6076,-0.0424,7.209067,7.188674,-0.2837,-1.8478,-0.355,4.3696,0.4792,1.3304,-0.04086,-0.07262
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top20,30,288,0.65,0.6215,-0.0285,8.542552,8.494506,-0.5656,-2.6091,-0.5334,5.3354,0.4896,1.5329,0.01488,-0.04969
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top20,60,288,0.65,0.6215,-0.0285,11.436968,11.420832,-0.1413,-0.7988,0.9706,7.7417,0.5208,1.0723,-0.03108,-0.09022
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top10,20,144,0.65,0.6319,-0.0181,7.790538,7.790967,0.0055,-3.1181,-1.2345,5.5787,0.4653,1.511,-0.00943,-0.14223
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top10,30,144,0.65,0.6458,-0.0042,9.373737,9.30544,-0.7339,-2.7135,-0.5831,6.8283,0.4861,1.3808,0.0096,-0.07321
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,plie_abs_top10,60,144,0.65,0.6667,0.0167,11.39867,11.415789,0.15,-3.2739,0.0235,9.8396,0.5,1.3656,0.00742,-0.07772
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,accel_top10,20,144,0.65,0.5486,-0.1014,8.718585,8.518693,-2.3465,-3.0125,0.598,3.0241,0.5139,-0.6678,-0.09014,-0.13889
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,accel_top10,30,144,0.65,0.6667,0.0167,10.090037,9.962768,-1.2774,-4.6733,-5.8356,3.6122,0.4028,0.5748,-0.03573,-0.18406
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,accel_top10,60,144,0.65,0.5764,-0.0736,13.9307,13.632422,-2.188,-5.7231,0.1141,4.9701,0.5069,-2.619,-0.08122,-0.12238
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,reliability_top20,20,288,0.65,0.6215,-0.0285,6.949142,6.952471,0.0479,-2.5617,-1.3165,3.9583,0.4514,2.2148,0.03471,-0.02141
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,reliability_top20,30,288,0.65,0.6354,-0.0146,8.21187,8.182109,-0.3637,-3.8088,-0.8605,4.8423,0.4722,2.7983,0.05561,-0.01799
2026-05-12 02:50:00+00:00,60,2026-03-13 02:50:00+00:00,reliability_top20,60,288,0.65,0.6215,-0.0285,10.875794,10.830494,-0.4183,-1.5752,0.7775,7.0571,0.5174,2.4375,0.01434,-0.05357
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,all,20,2160,0.65,0.6523,0.0023,6.924358,7.070883,2.0722,-1.1414,0.0,1.1883,0.3699,4.4554,-0.02475,-0.02629
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,all,30,2160,0.65,0.656,0.006,8.277009,8.462744,2.1947,-1.423,0.0,1.4335,0.3685,3.0757,-0.02818,-0.04348
